dataset,model,rows,top_lift,top_error_rate,top_error_rows,feature_or_stats_sec,cluster_or_fit_sec,assign_score_sec,approx_total_sec,top_issue,description
Adult 30k,matrix KMeans,1761,3.890041,1.0,1761,2.6243,2.6345,,5.2588,missing:occupation,low hours per week avg 30.5; workclass mostly missing (96%); occupation mostly missing (96%)
Adult 30k,matrix MiniBatchKMeans,1760,3.890041,1.0,1760,2.6243,0.6629,,3.2872,missing:occupation,low hours per week avg 30.4; occupation mostly missing (95%); workclass mostly missing (95%)
Adult 30k,semantic sketch,1305,3.830423999618448,0.9846743295019157,1285,1.149204799963627,2.7483985000289977,2.8252160999691114,6.722819399961736,anomaly:capital-loss,native-country mostly united-states (90%); native-country mentions united-states (90%); race mostly white (88%); capital-loss avg 1870.0; capital-gain avg 0.0
StackOverflow 10k,matrix KMeans,538,17.472119,0.611524,329,2.7026,2.7461,,5.4487000000000005,anomaly:ConvertedSalary,high ConvertedSalary avg 812534.5; HDI mostly High (93%); Gender mostly Male (95%)
StackOverflow 10k,matrix MiniBatchKMeans,849,4.408548,0.154299,131,2.7026,0.3871,,3.0896999999999997,anomaly:ConvertedSalary,"high ConvertedSalary avg 251760.3; EducationParents mostly Other doctoral degree (Ph.D, Ed.D., etc.) (57%); HDI mostly High (93%)"
StackOverflow 10k,semantic sketch,2965,1.917610214406167,0.06711635750421585,199,0.8330569000099786,2.779374599980656,1.4804635999607854,5.09289509995142,anomaly:ConvertedSalary,FormalEducation mentions degree (97%); Student mostly no (93%); FormalEducation mentions etc (89%); ConvertedSalary avg 181902.9
Games 12k,matrix KMeans,2281,1.171875,1.0,2281,1.3952,2.7287,,4.1239,missing:Critic_Count,high JP Sales avg 0.1; high NA Sales avg 0.5; Developer mostly missing (100%)
Games 12k,matrix MiniBatchKMeans,1974,1.171875,1.0,1974,1.3952,0.5519,,1.9470999999999998,missing:Critic_Score,Developer mostly missing (100%); User Score mostly missing (99%); Rating mostly missing (100%)
Games 12k,semantic sketch,1342,1.155283625186289,0.9858420268256334,1323,0.35935519996564835,2.4902949000243098,2.530085499980487,5.379735599970445,incomplete:Name,User_Score mostly missing (73%); Developer mostly missing (67%); Rating mostly missing (61%); User_Count avg 37.4; Critic_Count avg 25.0
Cars 20k,matrix KMeans,5222,1.0,1.0,5222,10.5376,3.6927,,14.2303,missing:county,transmission mostly automatic (90%); county mostly missing (100%); fuel mostly gas (91%)
Cars 20k,matrix MiniBatchKMeans,4295,1.0,1.0,4295,10.5376,0.2513,,10.7889,incomplete:posting_date,low year avg 2000.4; high odometer avg 178504.3; VIN mostly missing (81%)
Cars 20k,semantic sketch,3336,1.0,1.0,3336,5.2590867999824695,4.14684080000734,11.080803599965293,20.486731199955102,incomplete:posting_date,title_status mostly clean (92%); title_status mentions clean (83%); fuel mostly gas (78%); id avg 7315216184.0; odometer avg 45243.1
Complaints 6.9k,matrix KMeans,1350,1.0,1.0,1350,2.0176,2.4306,,4.4482,missing:Consumer disputed?,Consumer consent provided? mostly missing (99%); Consumer complaint narrative mostly missing (100%); Company public response mostly missing (100%)
Complaints 6.9k,matrix MiniBatchKMeans,1037,1.0,1.0,1037,2.0176,0.5607,,2.5782999999999996,missing:Company public response,Issue mostly Dealing with your lender or servicer (98%); Consumer consent provided? mostly missing (99%); Consumer complaint narrative mostly missing (100%)
Complaints 6.9k,semantic sketch,1464,1.0,1.0,1464,0.5294247000128962,2.6970206000260077,2.0473359000170603,5.273781200055964,missing:Consumer disputed?,Product mostly student loan (100%); Product mentions student (100%); Product mentions loan (100%); Complaint ID avg 12538624.5
